Emotion,Sentiment
flabbergasted,Unknown
fleetingness,Unknown
fluster,Neutral
focus,Positive
fool,Negative
forgiveness,Unknown
forlorn,Negative
frazzle,Unknown
fretfulness,Unknown
fright,Negative
frustration,Negative
funky,Unknown
furious,Negative
fury,Negative
gladness,Positive
glee,Positive
gloom,Negative
glum,Negative
good,Positive
goodwill,Positive
goofiness,Unknown
gratefulness,Positive
greediness,Negative
grim,Negative
grouch,Unknown
grumpiness,Unknown
happiness,Positive
harassment,Unknown
harm,Negative
harshness,Negative
hate,Negative
haughty,Negative
heartbreak,Unknown
heat,Neutral
helplessness,Negative
hesitation,Negative
honesty,Positive
hope,Positive
hopelessness,Negative
horror,Negative
hostile,Negative
huff,Negative
humor,Positive
hysteria,Negative
imagination,Neutral
impression,Positive
improvement,Positive
incredulity,Unknown
indifference,Negative
indignation,Negative
insecure,Negative
insolence,Unknown
interest,Positive
intimidation,Negative
irate,Negative
irked,Unknown
irritable,Negative
irritation,Negative
jittery,Unknown
jolt,Neutral
joviality,Unknown
joy,Positive
joyfulness,Positive
jubilation,Unknown
jumpy,Unknown
knowing,Positive
knowledge,Positive
laughter,Positive
letdown,Unknown
lethargy,Negative
loneliness,Negative
loss,Negative
lost,Negative
love,Positive
marvel,Positive
mediocrity,Negative
meekness,Unknown
melancholy,Negative
merriness,Unknown
miracle,Positive
misery,Negative
misfortune,Negative
mistake,Negative
mockery,Negative
moodiness,Unknown
motivation,Unknown
naughtiness,Unknown
nausea,Negative
negativity,Negative
nervousness,Neutral
neutral,Neutral
newness,Neutral
niceness,Unknown
nonplus,Unknown
normal,Neutral
numbness,Negative
observance,Neutral
offence,Unknown
outrage,Negative
pacific,Positive
pain,Negative
panic,Negative
patronization,Unknown
peace,Positive
pensiveness,Unknown
perfunctoriness,Unknown
perplexity,Negative
perturbed,Unknown
pessimism,Negative
pity,Neutral
playfulness,Positive
pleasant,Positive
pleased,Positive
pleasure,Positive
politeness,Positive
positive,Positive
prey,Negative
push,Neutral
puzzlement,Unknown
queasiness,Unknown
quirkiness,Unknown
quit,Negative
radiance,Positive
realization,Unknown
reassurance,Positive
rebellious,Unknown
refusal,Negative
regret,Negative
rejection,Negative
rejuvenation,Unknown
relaxation,Positive
relief,Positive
relinquished,Unknown
remorse,Negative
repelled,Unknown
repugnance,Unknown
repulsion,Negative
resentful,Negative
resentment,Negative
resignation,Negative
resolve,Neutral
responsiveness,Unknown
revelation,Neutral
revulsion,Negative
rush,Neutral
sadness,Negative
sarcasm,Negative
satiated,Unknown
satisfaction,Neutral
scare,Negative
scolding,Negative
scorn,Negative
secure,Unknown
self-deprecation,Unknown
serene,Negative
seriousness,Neutral
shame,Negative
shock,Negative
sickness,Negative
silence,Unknown
silliness,Neutral
simpleness,Unknown
skepticism,Neutral
smugness,Unknown
snarky,Unknown
snide,Negative
snobby,Unknown
snot,Unknown
softness,Neutral
somber,Negative
sorrow,Negative
sourness,Unknown
speechless,Neutral
spook,Negative
squeamish,Negative
stability,Neutral
startlement,Unknown
stern,Negative
strength,Positive
stress,Negative
stubbornness,Neutral
sulky,Unknown
sullenness,Unknown
surprise,Positive
suspicion,Negative
sympathy,Positive
taut,Neutral
tease,Negative
temper,Neutral
tension,Neutral
tentativeness,Unknown
terror,Negative
testy,Unknown
thankfulness,Unknown
thinking,Neutral
thoughtfulness,Positive
threat,Negative
thrill,Positive
tightness,Neutral
timidity,Negative
tiredness,Negative
tolerance,Neutral
torment,Negative
tranquility,Positive
transfixion,Unknown
trauma,Negative
turmoil,Negative
unaccepted,Unknown
unaroused,Unknown
unbiasedness,Unknown
uncertainty,Neutral
uncomfortable,Negative
unconcerned,Neutral
undecided,Negative
understanding,Positive
uneasiness,Negative
unexpected,Neutral
unforgivingness,Unknown
unhappiness,Negative
unpleasantness,Unknown
unsavory,Negative
unsettled,Negative
unsure,Unknown
unwillingness,Negative
upliftment,Unknown
uptightness,Unknown
vexation,Unknown
warmness,Unknown
weariness,Negative
whimsicality,Unknown
woeful,Negative
wonder,Unknown
wonderment,Unknown
worry,Negative
wryness,Unknown
